"Project name","TravalPass"
"Date range","03/29/2026 12:00 AM - 03/31/2026 11:59 PM"


"Visited URL matches regex","^https://travalpass\.com/(\?.*)?$"

"Total sessions","23"

"Visited URL matches regex","^https://travalpass\.com/(\?.*)?$"

"Date","Time","Session duration","Entry URL","Exit URL","Referrer:","Clarity user ID","Browser","Device","OS","Country","Page count","Session clicks","Favorite","Recording link"
"03/31/2026","06:01 AM","00:01","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMIzrnIu6jJkwMVJyIGAB1sVzLjEAEYASAAEgL4mfD_BwE","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMIzrnIu6jJkwMVJyIGAB1sVzLjEAEYASAAEgL4mfD_BwE","","1l83m6","ChromeMobile","Mobile","iOS","France","1","0","FALSE","https://clarity.microsoft.com/player/w40ldzb1vt/1l83m6/rqb2w1/?ss=1774951303000&sd=1"
"03/31/2026","12:49 AM","00:01","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMIj_Gd-6rJkwMVrAHrBB01OQeuEAEYASAAEgIWnfD_BwE","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMIj_Gd-6rJkwMVrAHrBB01OQeuEAEYASAAEgIWnfD_BwE","","12osbdl","ChromeMobile","Mobile","Android","France","1","0","FALSE","https://clarity.microsoft.com/player/w40ldzb1vt/12osbdl/1trl6at/?ss=1774932567000&sd=1"
"03/31/2026","12:49 AM","00:06","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMIj_Gd-6rJkwMVrAHrBB01OQeuEAEYASAAEgIWnfD_BwE","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMIj_Gd-6rJkwMVrAHrBB01OQeuEAEYASAAEgIWnfD_BwE","","i0j7wu","ChromeMobile","Mobile","Android","France","1","1","FALSE","https://clarity.microsoft.com/player/w40ldzb1vt/i0j7wu/1x5gyiw/?ss=1774932557000&sd=6"
"03/31/2026","12:49 AM","00:03","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMIj_Gd-6rJkwMVrAHrBB01OQeuEAEYASAAEgIWnfD_BwE","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMIj_Gd-6rJkwMVrAHrBB01OQeuEAEYASAAEgIWnfD_BwE","","1e3k178","ChromeMobile","Mobile","Android","France","1","0","FALSE","https://clarity.microsoft.com/player/w40ldzb1vt/1e3k178/19sawyq/?ss=1774932550000&sd=3"
"03/31/2026","12:38 AM","00:04","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMIzrnIu6jJkwMVJyIGAB1sVzLjEAEYASAAEgL4mfD_BwE","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMIzrnIu6jJkwMVJyIGAB1sVzLjEAEYASAAEgL4mfD_BwE","","ywgvdg","ChromeMobile","Mobile","iOS","France","1","0","FALSE","https://clarity.microsoft.com/player/w40ldzb1vt/ywgvdg/jqotht/?ss=1774931884000&sd=4"
"03/31/2026","12:32 AM","00:05","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMI-Yn7pafJkwMV0JP9Bx316zszEAEYASAAEgI_ifD_BwE","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMI-Yn7pafJkwMV0JP9Bx316zszEAEYASAAEgI_ifD_BwE","https://pagead2.googlesyndication.com/","89qxdp","SamsungInternet","Mobile","Android","Germany","1","0","FALSE","https://clarity.microsoft.com/player/w40ldzb1vt/89qxdp/eh40o5/?ss=1774931560000&sd=5"
"03/31/2026","12:28 AM","00:05","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMI9ZLioabJkwMVyvm3Bx1xPwspEAEYASAAEgKR2vD_BwE","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMI9ZLioabJkwMVyvm3Bx1xPwspEAEYASAAEgKR2vD_BwE","","yseqyi","SamsungInternet","Mobile","Android","Germany","1","0","FALSE","https://clarity.microsoft.com/player/w40ldzb1vt/yseqyi/al74i0/?ss=1774931292000&sd=5"
"03/31/2026","12:23 AM","00:25","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMIo9zshKXJkwMVjnr_Ax1VJyIyEAEYASAAEgL8PfD_BwE","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMIo9zshKXJkwMVjnr_Ax1VJyIyEAEYASAAEgL8PfD_BwE","","xp74bd","SamsungInternet","Mobile","Android","Germany","1","0","FALSE","https://clarity.microsoft.com/player/w40ldzb1vt/xp74bd/tkcxyw/?ss=1774930994000&sd=25"
"03/31/2026","12:22 AM","00:23","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMIo9zshKXJkwMVjnr_Ax1VJyIyEAEYASAAEgL8PfD_BwE","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMIo9zshKXJkwMVjnr_Ax1VJyIyEAEYASAAEgL8PfD_BwE","","lscnmy","SamsungInternet","Mobile","Android","Germany","1","1","FALSE","https://clarity.microsoft.com/player/w40ldzb1vt/lscnmy/gzvm0j/?ss=1774930959000&sd=23"
"03/31/2026","12:21 AM","00:01","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMI4M2P86TJkwMVfAHrBB0OkSEqEAEYASAAEgJphvD_BwE","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMI4M2P86TJkwMVfAHrBB0OkSEqEAEYASAAEgJphvD_BwE","https://googleads.g.doubleclick.net/","1ew0y6w","ChromeMobile","Mobile","Android","France","1","0","FALSE","https://clarity.microsoft.com/player/w40ldzb1vt/1ew0y6w/4zlwqd/?ss=1774930918000&sd=1"
"03/31/2026","12:20 AM","00:10","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=CjwKCAjwvqjOBhAGEiwAngeQnVA3wb6AigrcCI265JDpoTTZ3lLWBfveS_xad5hQkVXV2A4hyBDCahoCPWYQAvD_BwE","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=CjwKCAjwvqjOBhAGEiwAngeQnYHi_9J-SLYKkxpNS13Pf6irvIAaWj16PFIx2bkGlaOSZpfXYjvn8BoC1OQQAvD_BwE","https://googleads.g.doubleclick.net/","1psr3le","ChromeMobile","Mobile","Android","United States","2","0","FALSE","https://clarity.microsoft.com/player/w40ldzb1vt/1psr3le/y0780u/?ss=1774930815000&sd=10"
"03/31/2026","12:18 AM","00:01","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMIqaCb8aPJkwMVOAvrBB0j5izeEAEYASAAEgKtL_D_BwE","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMIqaCb8aPJkwMVOAvrBB0j5izeEAEYASAAEgKtL_D_BwE","android-app://com.live.earth.map.gps.navigation.directions.streetview.speedometer.satellite.webcam/","szxxts","SamsungInternet","Mobile","Android","Germany","1","0","FALSE","https://clarity.microsoft.com/player/w40ldzb1vt/szxxts/1ojieo7/?ss=1774930704000&sd=1"
"03/31/2026","12:18 AM","00:09","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMIqaCb8aPJkwMVOAvrBB0j5izeEAEYASAAEgKtL_D_BwE","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMIqaCb8aPJkwMVOAvrBB0j5izeEAEYASAAEgKtL_D_BwE","android-app://com.live.earth.map.gps.navigation.directions.streetview.speedometer.satellite.webcam/","boviyg","SamsungInternet","Mobile","Android","Germany","1","1","FALSE","https://clarity.microsoft.com/player/w40ldzb1vt/boviyg/lj1huj/?ss=1774930690000&sd=9"
"03/31/2026","12:17 AM","00:01","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMIqaCb8aPJkwMVOAvrBB0j5izeEAEYASAAEgKtL_D_BwE","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMIqaCb8aPJkwMVOAvrBB0j5izeEAEYASAAEgKtL_D_BwE","android-app://com.live.earth.map.gps.navigation.directions.streetview.speedometer.satellite.webcam/","1hz5cdb","SamsungInternet","Mobile","Android","Germany","1","0","FALSE","https://clarity.microsoft.com/player/w40ldzb1vt/1hz5cdb/2kz6vd/?ss=1774930651000&sd=1"
"03/31/2026","12:16 AM","00:15","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMI8-fsy6PJkwMVUyDrBB0Wyxm9EAEYASAAEgIwb_D_BwE","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMI8-fsy6PJkwMVUyDrBB0Wyxm9EAEYASAAEgIwb_D_BwE","","1ahsrlw","EdgeMobile","Mobile","Android","France","1","0","FALSE","https://clarity.microsoft.com/player/w40ldzb1vt/1ahsrlw/1yzwejj/?ss=1774930574000&sd=15"
"03/31/2026","12:14 AM","00:01","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMIjOjXk6PJkwMVjzBECB0-ixLzEAEYASAAEgJO__D_BwE","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMIjOjXk6PJkwMVjzBECB0-ixLzEAEYASAAEgJO__D_BwE","https://fn1.pvdwatersports.com/","1e02im9","FacebookApp","Mobile","Android","United States","1","0","FALSE","https://clarity.microsoft.com/player/w40ldzb1vt/1e02im9/renqg8/?ss=1774930463000&sd=1"
"03/31/2026","12:09 AM","00:07","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMIuoWAmaLJkwMVuWRBAh3BfCOMEAEYASAAEgLJrfD_BwE","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMIuoWAmaLJkwMVuWRBAh3BfCOMEAEYASAAEgLJrfD_BwE","https://ec7b082c302b76fbd9e6a0a54e03e6a4.safeframe.googlesyndication.com/","1xmsvvj","FacebookApp","Mobile","Android","France","1","0","FALSE","https://clarity.microsoft.com/player/w40ldzb1vt/1xmsvvj/1lplfyu/?ss=1774930194000&sd=7"
"03/31/2026","12:09 AM","00:24","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMIh8vPg6LJkwMVmXr_Ax3oDgeEEAEYASAAEgI43vD_BwE","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMIh8vPg6LJkwMVmXr_Ax3oDgeEEAEYASAAEgI43vD_BwE","","1mn2ire","ChromeMobile","Mobile","Android","France","1","1","FALSE","https://clarity.microsoft.com/player/w40ldzb1vt/1mn2ire/o5e9q1/?ss=1774930161000&sd=24"
"03/31/2026","12:08 AM","00:18","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMIiPDG_qHJkwMV0APbAR2nUS1JEAEYASAAEgIx1_D_BwE","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMIiPDG_qHJkwMV0APbAR2nUS1JEAEYASAAEgIx1_D_BwE","","jqtw2z","ChromeMobile","Mobile","Android","United States","1","0","FALSE","https://clarity.microsoft.com/player/w40ldzb1vt/jqtw2z/1e3xnew/?ss=1774930136000&sd=18"
"03/31/2026","12:08 AM","00:04","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMIvJ7l6aHJkwMV0k-4BB3qxh74EAEYASAAEgIrNPD_BwE","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMIvJ7l6aHJkwMV0k-4BB3qxh74EAEYASAAEgIrNPD_BwE","","5cf3r4","ChromeMobile","Mobile","Android","United States","1","0","FALSE","https://clarity.microsoft.com/player/w40ldzb1vt/5cf3r4/10wetmb/?ss=1774930101000&sd=4"
"03/31/2026","12:07 AM","00:07","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=CjwKCAjwvqjOBhAGEiwAngeQne7RW2--AcSiAiCvB7je_sc3x5rS3LMXM1r_3ZTW0c1sklCKEmMBohoCT-UQAvD_BwE","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=CjwKCAjwvqjOBhAGEiwAngeQne7RW2--AcSiAiCvB7je_sc3x5rS3LMXM1r_3ZTW0c1sklCKEmMBohoCT-UQAvD_BwE","","1yab3sy","SamsungInternet","Mobile","Android","Australia","1","0","FALSE","https://clarity.microsoft.com/player/w40ldzb1vt/1yab3sy/1ia131a/?ss=1774930069000&sd=7"
"03/31/2026","12:03 AM","00:22","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMIovC266DJkwMVdZP9Bx1TDy83EAEYASAAEgJ5kPD_BwE","https://travalpass.com/?gad_source=5&gad_campaignid=23687739287&gclid=EAIaIQobChMIovC266DJkwMVdZP9Bx1TDy83EAEYASAAEgJ5kPD_BwE","","1b38eql","ChromeMobile","Mobile","Android","Canada","1","0","FALSE","https://clarity.microsoft.com/player/w40ldzb1vt/1b38eql/1ekfss3/?ss=1774929827000&sd=22"
"03/30/2026","09:54 PM","21:08","https://travalpass.com/","https://travalpass.com/","","1kbgdpx","Chrome","PC","Windows","United States","2","0","FALSE","https://clarity.microsoft.com/player/w40ldzb1vt/1kbgdpx/79rvf4/?ss=1774922084000&sd=1268"
